Gene.symbol,Gene.ID,adj.P.Val,logFC
LAPTM4B,55353,0.372637948408583,2.14909484979819
H1F0,3005,0.000160036807323922,2.14706728581065
ERLIN1,10613,5.80474783648214e-09,2.14276105773923
SLC30A4,7782,0.00808537484484572,-2.14217426326984
SCML4,256380,4.99479155530734e-06,-2.14020081445691
SNX25,83891,0.873540838555067,-2.1397616351542
KDELC1,79070,4.82203728050642e-06,2.13957726708617
CENPU,79682,1.92270237316882e-10,2.13654467118594
DOCK1,1793,0.000524785673459084,2.13641378306689
TRIB2,28951,1,-2.13599890399886
HBEGF,1839,1,2.12850306335374
HIST2H3D///HIST2H3A///HIST2H3C,653604///333932///126961,5.07551872209852e-06,2.12569820585375
ARHGAP11B,89839,0.000105211161700973,2.12529265304195
,,0.286707749749655,2.12506568603061
PLEKHA5,54477,7.4697632084607e-06,2.12466497021769
HCP5,10866,2.5233042003458e-08,-2.1242284256712
MGAT4A,11320,0.0598492465175938,-2.11877137321542
FABP5P3///FABP5,220832///2171,3.83246528952956e-06,2.11857596850227
HGF,3082,0.0763360797800697,2.11718308610771
RRM2,6241,1.90884899644736e-07,2.11699722487642
PRR11,55771,1.05299739161133e-05,2.11328645383447
,,1,2.1127948021882
,,0.435950001652234,2.11184578341837
TMEM144,55314,0.00100096184334776,2.11011544506236
DAB2,1601,0.0011819257673457,2.10636477133333
,,1,-2.10384620240136
SGMS2,166929,0.114285063839941,2.10207754770862
LY75-CD302///CD302,100526664///9936,1,2.09863788981973
FAM69A,388650,1,-2.09606424683673
CEP85L,387119,4.79574908849016e-09,-2.09348870784807
DEPDC1B,55789,2.99036593018188e-13,2.0924736368254
IFITM1,8519,0.640866342649941,-2.09207870932653
POLQ,10721,1.9530936186798e-16,2.09197758109183
PCNA,5111,1.14256963444063e-12,2.09183679341837
PLTP,5360,7.50630194035231e-13,2.09153848252834
TCP11L2,255394,8.20578412595095e-06,-2.09064514736621
EPSTI1,94240,4.1208948577825e-05,-2.08938812312245
DEPDC1,55635,1.56332125708053e-08,2.08897944087529
FAH,2184,5.55295137427629e-08,2.08797664166667
SERPINB10,5273,0.16928796514772,2.08581750826984
CLEC2D,29121,0.0235904233675782,-2.08082167735941
SNORD116-1,100033413,1,-2.08004839240589
CFD,1675,0.73896187058361,2.07853377993537
CRISPLD1,83690,5.26681619971471e-08,2.07744433405329
GATA2,2624,3.89451481027271e-06,2.0773805972517
SPOCK2,9806,0.642197170955569,-2.07514380205442
DUSP10,11221,0.00628037358403928,2.07504333399206
MAP7,9053,6.02716818421886e-06,2.07380500496373
FAM46A,55603,1.43928118412665e-10,2.07278087629479
TLR10,81793,1,-2.07222130990022
LOC100131541,100131541,3.58504105133918e-07,-2.07188390227211
,,1,2.07165486637188
CXCL2,2920,0.0454197384569893,2.0697485136678
TNFSF10,8743,1,-2.06866142257596
RHOBTB3,22836,3.1077685422806e-05,2.06814370586508
CD163,9332,1,2.06765512659184
CAMK4,814,1,-2.06544402373923
,,0.170390358678095,2.06506985846939
PLXND1,23129,0.000120141935293481,2.06387956461905
ATF3,467,0.0113637924371473,2.0614442760839
NUCB2,4925,1.03789359456604e-05,2.06134543418595
GRAP2,9402,1,-2.05883318926303
TMEM140,55281,0.0150864491721931,-2.0537792825839
HIST1H4L,8368,0.164092782796968,2.05271642821882
GPX1,2876,0.000209275697599653,2.04970586395465
,,1,2.04895098372336
RCN1,5954,6.54534721760389e-06,2.04870853658617
GAS2L3,283431,0.000332138604220839,2.04861566386735
SNCA,6622,0.134329988856181,2.04714837505556
MYBL1,4603,1,-2.04658687931179
P2RX1,5023,1,2.04591605348866
ARNTL,406,0.00192019477196542,-2.04550851806009
IPCEF1///CNKSR3,26034///154043,1,-2.04507233285827
EPHA4,2043,0.0206790895508139,-2.04133216859751
PYHIN1,149628,1,-2.0399783764331
HELLS,3070,2.99568818914512e-05,2.03768199983334
HIST1H2AH,85235,1.70033898524583e-05,2.03735780622562
UCK2,7371,1.90666772096266e-07,2.03679623972789
ISG20,3669,1.21316599276015e-06,-2.03493521070521
SORT1,6272,1,2.03359403185034
PDLIM1,9124,1,2.0275693295
GSN,2934,0.0411421471941357,2.02337374820182
SPARC,6678,0.0229833994410061,2.02309361411564
,,1,-2.02094006568821
,,4.36906227206642e-05,2.02035173959071
FCGR3B///FCGR3A,2215///2214,1,-2.01806181311678
CLIC2,1193,0.00224465939184339,2.01713905905782
ZNF660,285349,1.76048366197773e-07,2.01668654406236
PAICS,10606,0.0108307367082125,2.01407032773923
CDCA2,157313,2.8981093190155e-09,2.01385233865873
LRP12,29967,1.31483828672768e-06,2.01363546063719
KYNU,8942,1,2.01221775561905
BTN3A1,11119,2.79106022055696e-09,-2.01173447436734
SPAG5,10615,8.88623449257352e-11,2.00879504296032
SNORD116-15,100033427,1,-2.00848308519841
GOLGA8R///GOLGA8DP///GOLGA8CP///GOLGA8O///GOLGA8M///GOLGA8K///GOLGA8T///GOLGA8J///GOLGA8S///GOLGA8N///GOLGA8EP///GOLGA8IP,101059918///100132979///729786///728047///653720///653125///653075///653073///653061///643699///390535///283796,7.19132471109933e-05,2.00696278840136
GBP1P1///GBP3///GBP1,400759///2635///2633,0.0187112888977687,-2.00342812947166
HAVCR2,84868,0.00542028325339669,2.00183699073016
,,0.00178337602556332,2.00052632396032
CKS1B,1163,2.04350369554185e-05,1.99998592069048
HIST1H3I,8354,0.0075383609715384,1.99935040911225
RAB11FIP4,84440,7.40696249064342e-11,-1.99885479313605
ORC1,4998,2.08675422730343e-13,1.99692358986622
ANKRD44,91526,8.20746840319388e-11,-1.99129396085373
UHRF1,29128,4.17604668538087e-11,1.98998455168708
MAPK13,5603,7.97875984394368e-05,-1.9865751398322
MCM2,4171,7.8186978245512e-12,1.9862173143288
ZBTB38,253461,1.23937799158522e-09,-1.98596424552607
SOCS6,9306,6.4681564238871e-05,1.98105585551701
PIK3IP1,113791,0.0885786024484978,-1.98079527275623
ANKRD28,23243,0.000223610056381184,1.97999185488548
KIF2C,11004,3.35286828803017e-12,1.97681992265307
KDM7A,80853,0.000496864137621677,-1.97670655044218
BRCA2,675,1.46346409248214e-09,1.97647687273923
RAB27B,5874,0.0506887272340338,1.97625542418028
KNL1,57082,1.16648400079846e-05,1.97556314109411
KCNJ15,3772,1,-1.97223683846258
KPNA2,3838,4.72283715398162e-07,1.97053396128345
IL4R,3566,5.97061875834408e-05,-1.97038027790023
TARBP1,6894,0.200598818110154,1.96877296225737
KIF15,56992,3.12534541187618e-10,1.96828328974604
B3GALNT1,8706,4.63894206403522e-09,1.96752023587529
,,0.00937700952432566,-1.9636385390805
CD244,51744,0.306858079088742,1.96290214060771
MPP1,4354,1,1.96224379754422
JCHAIN,3512,1,1.96053400221882
LY9,4063,1,-1.95937455884467
LOC100131826,100131826,0.00503008129820146,1.9573809174025
TRIP13,9319,1.11867090768454e-09,1.95396211606916
SLFN5,162394,1,-1.9525730842551
GINS2,51659,3.69397975631126e-07,1.95067830166894
,,0.493565893266126,1.94855883050793
SNORD116-9///SNORD116-8///SNORD116-7///SNORD116-5///SNORD116-3,100033421///100033420///100033419///100033417///100033415,1,-1.94760251230499
SLAMF1,6504,0.251789864392074,-1.94486202297392
MNS1,55329,7.02102175582852e-09,1.94453583457256
ANK3,288,0.940773981944358,-1.94340943538889
RAB32,10981,0.544846409958675,1.94299627929138
RNVU1-19,101954277,1,1.94176111700453
FOXM1,2305,9.6682744168581e-13,1.94159098212698
CNTLN,54875,0.000713038134395635,1.94114521002381
GPR18,2841,1,-1.9389350075737
WT1,7490,4.25448329006005e-10,1.93883133012358
NCAPH,23397,4.95552186477768e-09,1.93840420835827
SP110,3431,0.00023494600982072,-1.93830088385148
KLF12,11278,1,-1.93677037891043
ANXA1,301,1,1.93674938512019
PCED1B,91523,0.66531696525675,-1.93538346729138
TAGAP,117289,1.06842415502283e-08,-1.93331928934806
BAALC,79870,0.0785605946215301,1.9296590694229
HOXA6,3203,0.0115710358858772,1.92568288885261
,,1,1.92445228946485
BTK,695,1,1.9244456933084
NYNRIN,57523,7.59401146917442e-05,1.92394501219841
,,1,1.92285206968027
C1orf132///MIR29C,100128537///407026,0.0381479830364104,-1.9220019226848
SIRPG,55423,1,-1.92141430218367
SMAD1,4086,0.000260047411134349,1.9211337130669
GNAQ,2776,1,1.92104530529251
SAMD3,154075,1,-1.92084255203288
ZHX2,22882,1.18193235688904e-06,-1.92068477258617
TTC7B,145567,0.00020986733327234,1.92019685848073
TMOD2,29767,0.00127554120757129,-1.91795513769161
SIDT1,54847,1,-1.91740029043651
CAMK2D,817,1,-1.91509291219047
HIST1H2AB,8335,0.0693391768201942,1.91477488274037
